| The Divine Comedy: Inferno, Purgatory and Paradise      | 2024 | Drama      |
| Mom's Coming                                            | 2024 | Drama      |
| Dark Forest: Dante's Sins. Virgil appears.              | 2024 | Drama      |
| The Gate of Hell                                        | 2024 | Drama      |
| First Circle: Limbo                                     | 2024 | Drama      |
| The Accompanist Awakening                               | 2025 | Drama      |
| Yuna                                                    | 2023 | Drama      |
| Cerberus. 3rd Circle: The Gluttons                      | 2024 | Drama      |
| Minos. 2nd Circle: The Lustful                          | 2024 | Drama      |
| Farinata. 6th Circle: Dis - The Heretics                | 2024 | Drama      |
| A Figgly Christmas                                      | 2025 | 2025       |
| The Accompanist Awakening                               | 2025 | 2025       |
| Mnemonix                                                | 2025 | 2025       |
| Urlamò, Adorazione                                      | 2025 | 2025       |
| The Wizard Hunter: The Hunt for Evangelion Crowley      | 2025 | 2025       |
| Avatar: Fire and Ash                                    | 2025 | 2025       |
| End Game                                                | 2025 | 2025       |
| No Knock Warrant                                        | 2025 | 2025       |
| The Magnificent Raiders of Dimension War One            | 2025 | 2025       |
| Cascade Road                                            | 2025 | 2025       |
| The Divine Comedy: Inferno, Purgatory and Paradise      | 2024 | Drama      |
| Mom's Coming                                            | 2024 | Drama      |
| Dark Forest: Dante's Sins. Virgil appears.              | 2024 | Drama      |
| The Gate of Hell                                        | 2024 | Drama      |
| First Circle: Limbo                                     | 2024 | Drama      |
| The Accompanist Awakening                               | 2025 | Drama      |
| Yuna                                                    | 2023 | Drama      |
| Cerberus. 3rd Circle: The Gluttons                      | 2024 | Drama      |
| Minos. 2nd Circle: The Lustful                          | 2024 | Drama      |
| Farinata. 6th Circle: Dis - The Heretics                | 2024 | Drama      |
| A Figgly Christmas                                      | 2025 | 2025       |
| The Accompanist Awakening                               | 2025 | 2025       |
| Mnemonix                                                | 2025 | 2025       |
| Urlamò, Adorazione                                      | 2025 | 2025       |
| The Wizard Hunter: The Hunt for Evangelion Crowley      | 2025 | 2025       |
| Avatar: Fire and Ash                                    | 2025 | 2025       |
| End Game                                                | 2025 | 2025       |
| No Knock Warrant                                        | 2025 | 2025       |
| The Magnificent Raiders of Dimension War One            | 2025 | 2025       |
| Cascade Road                                            | 2025 | 2025       |
